,Rooms,Distance,Value,Rooms2
0,7.489,1.9709,50.0,434.36199999999997
1,7.802,2.0407,50.0,709.982
2,8.375,2.162,50.0,326.625
3,7.929,2.0459,50.0,681.894
4,7.831,3.1992,50.0,250.592
5,7.875,5.6484,50.0,393.75
6,8.034,5.118,50.0,546.312
7,8.725,2.8944,50.0,235.575
8,8.704,1.801,50.0,635.392
9,8.297,2.4216,50.0,257.207
10,7.923,5.885,50.0,380.304
11,4.97,1.3325,50.0,208.73999999999998
12,6.683,1.3567,50.0,60.147
13,7.016,1.2024,50.0,210.48
14,6.216,1.1691,50.0,248.64000000000001
15,5.875,1.1296,50.0,540.5
16,8.398,2.2885,48.8,512.278
17,7.853,5.118,48.5,117.795
18,8.247,3.6519,48.3,57.729
19,7.686,3.3751,46.7,245.952
20,7.645,5.2119,46.0,290.51
21,7.82,4.6947,45.4,453.56
22,8.266,2.8944,44.8,289.31
23,7.454,6.3361,44.0,402.51599999999996
24,7.82,3.4952,43.8,688.1600000000001
25,7.47,2.872,43.5,373.5
26,7.52,2.1398,43.1,526.4
27,8.259,8.9067,42.8,528.576
28,7.61,6.27,42.3,83.71000000000001
29,8.337,3.8384,41.7,400.176
30,6.943,1.8773,41.3,486.01
31,7.765,2.741,39.8,465.9
32,8.069,3.4952,38.7,597.1060000000001
33,7.155,2.7006,37.9,500.85
34,8.04,3.2157,37.6,787.92
35,7.148,5.1167,37.3,343.104
36,6.98,2.829,37.2,258.26
37,6.951,6.4798,37.0,340.599
38,7.206,1.9301,36.5,216.18
39,7.178,6.4798,36.4,545.528
40,7.147,6.0622,36.2,64.32300000000001
41,6.144,2.5979,36.2,516.096
42,7.236,4.022,36.1,101.304
43,7.333,1.8946,36.0,476.64500000000004
44,7.249,8.6966,35.4,449.438
45,6.968,5.2447,35.4,390.20799999999997
46,7.691,4.3665,35.2,538.37
47,6.812,4.1007,35.1,326.976
48,7.024,5.4011,34.9,407.392
49,7.185,4.5667,34.9,646.65
50,6.975,7.6534,34.9,481.275
51,7.185,4.9671,34.7,409.54499999999996
52,7.274,7.309,34.6,174.576
53,7.203,2.1121,33.8,108.045
54,6.998,6.0622,33.4,566.838
55,7.42,3.0992,33.4,296.8
56,7.287,7.309,33.3,553.812
57,7.416,3.4952,33.2,29.664
58,7.267,4.7872,33.2,443.28700000000003
59,6.826,4.8628,33.1,532.428
60,6.982,5.4917,33.1,649.326
61,7.104,9.2229,33.0,632.256
62,7.135,7.6534,32.9,228.32
63,7.241,7.0379,32.7,463.424
64,6.563,2.847,32.5,216.57899999999998
65,6.758,4.0776,32.4,175.708
66,7.088,7.3073,32.2,602.48
67,6.782,3.7886,32.0,291.626
