,Item,Brand,Usage,Gender,Model,Size,Sale_Until,Prize
20696,Shoes,Abini,Very Used,Men,Men's Luigina Trapani,38,0,29.357638799514664
19351,Shoes,SockGuy,Used,Men,SockGuy Virginia Paolucci,41,0,5.314679900861979
21715,Shoes,John Henry,New,Men,John Laura Boaga,39,0,13.05300001613796
21702,Shoes,J.C. Rags,New,Men,J.C. Bianca Pellegrini,42,0,87.67439993228764
19353,Shoes,SockGuy,Almost New,Men,SockGuy Pasqual Ottino-Pareto,41,0,6.059549904080854
2905,Shoes,Adidas,New,Women,Allegra Stefano Gabba,42,0,5.649250039947219
6998,Shoes,Hip,Almost New,Women,Hip-T Lando Pisani,41,0,10.334100379744172
14159,Shoes,Sutton Studio,New,Women,Sutton Dott. Vincenza Carullo,40,0,16.37453986095362
17440,Shoes,Eileen West,Used,Women,Eileen Arnulfo Luxardo,42,0,38.430000079795725
9893,Shoes,Adidas,Used,Women,Allegra Sig. Lucio Natta,43,0,6.764180506256007
2927,Shoes,Adidas,New,Women,Allegra Dott. Anita Gentileschi,41,0,4.488939057025373
16009,Shoes,O'Neill,Used,Women,O'Neill Dionigi Morgagni,45,0,22.52092506056652
2944,Shoes,Adidas,Very Used,Women,Allegra Giorgio Zaccardo,42,0,4.392929929735538
19422,Shoes,Thorlo,New,Men,Thorlo Giacobbe Schiavone,45,0,10.630290888183207
21650,Shoes,Hollister,Almost New,Men,Hollister Cassandra Tamburini,41,0,58.319999903440475
2962,Shoes,Adidas,Almost New,Women,Allegra Dott. Alfio Cimarosa,45,0,4.0503726035426935
9784,Shoes,Wrangler,Very Used,Men,Wrangler Fortunata Storladi,40,0,19.052250026259568
9872,Shoes,AxParis,Used,Women,AX Sabatino Vigliotti,41,0,19.949999952223152
14100,Shoes,Rafaella,Used,Women,Rafaella Costantino Trincavelli,44,0,21.18269978535845
1591,Shoes,adidas,Almost New,Men,Boston Lisa Grossi,41,0,7.332038935568245
6960,Shoes,Hanky Panky,Very Used,Women,Hanky Anita Farinelli-Casagrande,37,0,33.179999962449074
14244,Shoes,FreshGear AFX,Very Used,Women,AFX Leonardo Antonucci-Regge,39,0,8.425340884573401
25052,Shoes,Fox,New,Women,Fox Dario Asprucci-Duodo,45,0,15.292799984570593
19193,Shoes,Kirkland Signature,Almost New,Men,Outdoor Lucia Calvo-Pucci,44,0,8.162054893969259
25041,Shoes,Faconnable,Used,Men,Faconnable Sig. Annibale Esposito,45,0,85.09499991685152
2802,Shoes,Injinji,New,Women,injinji Stella Cendron,43,0,6.416000038385391
10071,Shoes,Alternative,New,Women,Alternative Ubaldo Bembo,45,0,31.293000064976514
536,Shoes,Isotoner,Very Used,Men,Isotoner Dott. Eliana Sauro,42,0,6.119999983906748
9927,Shoes,Anna-Kaci,Very Used,Women,Anna-Kaci Ivan Zacco,40,0,10.209779806886315
14231,Shoes,XOXO,New,Women,XOXO Dott. Loredana Panatta,38,0,24.2218826269569
4576,Shoes,Caterpillar,New,Men,Caterpillar Adamo Morabito,38,0,20.772000052034855
4572,Shoes,Carve Designs,Used,Women,Carve Gilberto Collodi,40,0,18.24983970907688
15948,Shoes,Red Kap,New,Men,Men's Ermes Favata,41,0,11.03049719313957
24981,Shoes,Bigmansland,Almost New,Men,Easy Dott. Dina Gabbana,39,0,17.274599812050912
21744,Shoes,Kenneth Cole REACTION,New,Men,Kenneth Benito Saragat,38,0,17.93151671979056
14192,Shoes,Vince Camuto,Almost New,Women,Vince Nedda Fuseli,42,0,42.13859995426612
3631,Shoes,Kiyonna,Used,Women,Charlize Fabio Trotta-Tarchetti,45,0,63.61599969863892
26004,Shoes,Van Heusen,Very Used,Men,Van Nicoletta Babati,42,0,17.393978346443305
25057,Shoes,Fox,Used,Women,Fox Nadia Caccianemico,42,0,12.311999987578021
14098,Shoes,Tribal,New,Women,Pull Alina Montanariello,43,0,28.399266748124656
21617,Shoes,Geoffrey Beene,New,Men,Geoffrey Loredana Venier,45,0,12.307895912502051
16169,Shoes,Quiksilver,Used,Men,Quiksilver Riccardo Peruzzi,38,0,10.99624998867512
7279,Shoes,Maidenform,Used,Women,Maidenform Adelasia Castioni-Anichini,38,0,22.402799975685785
9526,Shoes,Southpole,New,Women,Southpole Michelangelo Casarin,43,0,13.964999988675121
19688,Shoes,Comfort Choice,Used,Women,Comfort Clelia Scotto,41,0,7.812001852429987
7283,Shoes,Maidenform,New,Women,Maidenform Gianfranco Bocelli,38,0,23.9199999794364
16171,Shoes,Quiksilver,Very Used,Men,Quiksilver Atenulf Zarlino,40,0,12.9250000230968
19695,Shoes,Danskin,Very Used,Women,Danskin Dott. Michele Contarini,40,0,4.8138749822974205
7273,Shoes,Maidenform,Almost New,Women,Maidenform Imelda Segrè,41,0,17.036799973249433
7296,Shoes,Maidenform,New,Women,Maidenform Amanda Tosi,42,0,11.159999943338335
3096,Shoes,Jones New York,Almost New,Women,Jones Michelangelo Papafava-Viola,37,0,36.96389963859917
7310,Shoes,Maidenform,Used,Women,Maidenform Toni Paolucci,40,0,17.107199975196274
26118,Shoes,Wrangler,Used,Men,Wrangler Gino Nicolini-Fallaci,38,0,23.444999903440475
9505,Shoes,Silver Jeans,Very Used,Men,Silver Sig.ra Marta Tosto,40,0,41.66699991095811
19712,Shoes,Ellen Tracy,New,Women,Ellen Lisa Tozzi,44,0,11.444999920204285
23841,Shoes,Rufskin,Almost New,Men,Rufskin Dott. Fedele Tasca,37,0,28.65200014412403
19714,Shoes,FITS Sock Company,Used,Women,FITS Elvira Campise,39,0,7.026484903984107
7300,Shoes,Maidenform,Used,Women,Maidenform Graziano Gregorio,39,0,17.528399976342918
23723,Shoes,RVCA,Very Used,Men,RVCA Claudio Legnante,45,0,30.70176796328396
12447,Shoes,True Religion,Used,Men,True Sig. Simone Barillaro,38,0,138.10680053941908
21510,Shoes,Ed Hardy,Used,Men,Ed Rosaria Marini,45,0,21.31467088747204
24899,Shoes,DC Shoes,Used,Men,DC Aria Zecchini-Guicciardini,40,0,17.567999958992004
9717,Shoes,Worn Jeans,Used,Men,Worn Atenulf Rismondo,39,0,28.600919527107777
3006,Shoes,BCBGMAXAZRIA,Used,Women,BCBGMAXAZRIA Dolores Biagiotti,38,0,36.490000179037445
3008,Shoes,BCBGMAXAZRIA,New,Women,BCBGMAXAZRIA Claudia Gregorio,41,0,96.00856833922863
3009,Shoes,LOTUSTRADERS,Used,Women,BLACK Alfio Guinizzelli,39,0,19.752684831268148
19538,Shoes,X-Socks,Used,Men,X-Socks Sig. Rocco Zaccardo,38,0,11.02426453961939
21593,Shoes,French Connection,New,Men,French Enzo Sokolov,39,0,59.2128000497818
24835,Shoes,Columbia,Very Used,Men,Columbia Giuseppina Mercalli,43,0,31.059823311703525
7153,Shoes,Laura,Almost New,Women,Laura Ugo Conti-Palumbo,37,0,11.687470366359241
19550,Shoes,NEFF,Used,Men,neff Ermes Russo-Mengolo,38,0,8.936810889447793
7180,Shoes,Laura,Very Used,Women,Laura Giulietta Iacobucci-Curiel,39,0,15.888600343396515
19626,Shoes,Betsey Johnson,New,Women,Betsey Renata Montesano,39,0,6.461999952793121
21526,Shoes,Elita,Very Used,Women,Elita Luca Calgari,43,0,14.895999950170518
17333,Shoes,Derek Rose,New,Men,Derek Uberto Borromeo,44,0,106.14999947138132
7235,Shoes,Roma Costume,New,Women,Low Bianca Musatti,41,0,4.957064900144041
26691,Shoes,HUGO BOSS,Almost New,Men,HUGO Sig.ra Vittoria Dossetti,38,0,12.512500027660282
7159,Shoes,Laura,Used,Women,Laura Bernardo Casellati,42,0,17.38336583803876
12492,Shoes,Via Spiga,Almost New,Women,Via Luciano Antonetti,37,0,77.84193543114209
14248,Shoes,AN1225,Almost New,Women,AN1225 Piergiorgio Tafuri,41,0,4.8774899136852845
10153,Shoes,DKNYC,Very Used,Women,DKNYC Rembrandt Cesarotti,44,0,22.51591302573524
4824,Shoes,FOURSQUARE,Used,Women,Foursquare Elvira Norbiato-Sommaruga,43,0,13.105847581600074
22184,Shoes,Port Authority,New,Men,Port Dott. Donna Pizzo,44,0,13.270093890947612
12006,Shoes,MICHAEL Michael Kors,New,Women,MICHAEL Lucia Porzio-Malacarne,40,0,65.30062477686442
25194,Shoes,Harley-Davidson,Almost New,Men,Harley-DavidsonÂ® Nadia Maspero,40,0,14.304195343578904
10339,Shoes,Rhonda Shear,Very Used,Women,Rhonda Pomponio Filogamo,43,0,21.629430468446465
22119,Shoes,Pendleton,Almost New,Men,Pendleton Tonino Mascagni-Foa,45,0,127.53750011324884
388,Shoes,Marshal,Very Used,Men,Eel Sandra Vidoni,43,0,7.6513472442661055
4826,Shoes,Fourstar,Almost New,Men,Fourstar Giacomo Antonioni,39,0,22.939200058579445
22107,Shoes,Pendleton,New,Men,Pendleton Orlando Rensi-Majorana,42,0,55.876393361011324
23476,Shoes,O'Neill,New,Men,O'Neill Filippo Polani,39,0,10.226797879222186
12023,Shoes,Mammut,Almost New,Men,Mammut Federico Branciforte,41,0,128.30010848857043
23479,Shoes,O'Neill,New,Men,O'Neill Telemaco Crisafulli,40,0,33.54120012251661
15760,Shoes,KR3W,New,Men,KR3W Paoletta Praga-Travaglia,42,0,22.53993782659899
2650,Shoes,Valmont,New,Women,Valmont Beatrice Battelli,41,0,7.056000016629696
25917,Shoes,Tri-Mountain,Used,Men,Tri-Mountain Sig. Tonino Burcardo,41,0,26.226050450631895
22100,Shoes,Pendleton,Almost New,Men,Pendleton Adelmo Tomasini,45,0,50.36723931030616
14425,Shoes,DREAMS,Almost New,Women,Dreams Ninetta Barillaro,44,0,14.422878709695608
15716,Shoes,Jet Lag,Used,Men,Jet Isa Correr,41,0,36.02400003354997
14502,Shoes,HUE,Almost New,Women,HUE Sophia Giannetti,40,0,3.231899997126311
23392,Shoes,MW,New,Women,Mw Marta Gelli,43,0,23.16085297321636
15662,Shoes,Island Passport,New,Men,Island Silvia Monduzzi,43,0,25.096500010695312
22262,Shoes,Rodd & Gunn,Used,Men,Rodd Mariana Riccati,39,0,84.31499999016523
10415,Shoes,Torrid,Almost New,Women,Torrid Ludovica Toldo-Petrocelli,42,0,14.178150065056979
336,Shoes,180s,Very Used,Men,Degrees Mercedes Boccherini,41,0,9.022499967541078
14573,Shoes,LibbySue,Used,Women,LibbySue-Silk Sig.ra Liliana Scaduto,44,0,7.678799991309639
11945,Shoes,Levi's,New,Men,Levi's Dott. Ermes Garobbio,45,0,130.72950040642172
18975,Shoes,HUGO BOSS,Used,Men,HUGO Ugo Sordi-Oscuro,44,0,7.335900017758833
23418,Shoes,Nautica,Almost New,Men,Nautica Francesca Montanariello,45,0,19.052055957331028
10414,Shoes,Torrid,Used,Women,Torrid Matteo Gentileschi,41,0,13.935600066371263
23422,Shoes,Nautica,New,Men,Nautica Dott. Rita Verri,41,0,13.347500064410271
23430,Shoes,Nautica,New,Men,Nautica Sonia Sokolov,43,0,16.98033790744835
10392,Shoes,STYLE,Very Used,Women,Style Dott. Elmo Canali,37,0,6.885998896787524
4849,Shoes,Fox,Used,Men,Fox Marissa Gregori,37,0,22.854150011949237
